source	relation	target
Tract Mirror	emerged-from	Linear Predictive Coding
Tract Mirror	mirrors	Waveguide Synthesizer
Tract Mirror	couples-with	Three.js
Tract Mirror	connects-to	Boundary-Crossing Instruments
Bayesian Granular Synthesizer	connects-to	Neural Granular Synthesis
Bayesian Granular Synthesizer	couples-with	Phase Reduction
Bayesian Granular Synthesizer	connects-to	Frequency-Time Duality
Bayesian Granular Synthesizer	connects-to	Loudon Live
Portamento and Physical Pitch Modeling	connects-to	Action Potential Oscillator
Portamento and Physical Pitch Modeling	deepens	Frequency-Time Duality
Portamento and Physical Pitch Modeling	couples-with	Kuramoto Coupling
Portamento and Physical Pitch Modeling	connects-to	Bessel Functions in Synthesis
Portamento and Physical Pitch Modeling	connects-to	Biomechanical Synthesis
Preset Oracle	mirrors	FOUR PILLARS
Preset Oracle	connects-to	Hilaritas Generator
Preset Oracle	mirrors	Oblique Portrait
Preset Oracle	connects-to	Symbiotic Skills
Preset Oracle	deepens	Spinoza Conatus
Generative Sample Libraries	emerged-from	Crystal Synthesizer
Generative Sample Libraries	couples-with	Generative Audio Devices
Generative Sample Libraries	couples-with	Generative Preset Development
Generative Sample Libraries	spawned	Generative Wavetable Libraries
Generative Sample Libraries	spawned	Talking Keyboard
Generative Sample Libraries	spawned	Phoneme Choir
Generative Sample Libraries	connects-to	Substrate Skill
Generative Sample Libraries	connects-to	Project Stewardship System
Generative Sample Libraries	connects-to	Retrospective Delay
Generative Sample Libraries	deepens	Shepard Tone Synthesizer
Generative Sample Libraries	connects-to	Neural Granular Synthesis
Generative Sample Libraries	connects-to	Modes of Collaboration
Generative Sample Libraries	enables	FOUR PILLARS
Phoneme Choir	emerged-from	Generative Sample Libraries
Phoneme Choir	mirrors	Talking Keyboard
Phoneme Choir	connects-to	Substrate Skill
Phoneme Choir	connects-to	Modes of Collaboration
Phoneme Choir	connects-to	FOUR PILLARS
Phoneme Choir	enables	The Metaphor Stretch
2D Torus Wavetable Synthesizer — Build Log	emerged-from	2D Torus Wavetable Synthesizer
2D Torus Wavetable Synthesizer — Build Log	connects-to	2D Wavetable Catalog
2D Torus Wavetable Synthesizer — Build Log	connects-to	DSP in Looping Dimensions
2D Torus Wavetable Synthesizer — Build Log	connects-to	Kuramoto Coupling
2D Torus Wavetable Synthesizer — Build Log	connects-to	Frequency-Time Duality
2D Torus Wavetable Synthesizer — Build Log	connects-to	Torus Warping Catalog
2D Torus Wavetable Synthesizer — Build Log	connects-to	Categorizing Inharmonicity
Semantic Delay — Phase 1 Plan Review 2026-04-20	deepens	Semantic Delay
Semantic Delay — Phase 1 Plan Review 2026-04-20	connects-to	Kuramoto Coupling
Semantic Delay — Phase 1 Plan Review 2026-04-20	connects-to	Dub Lineage
Semantic Delay — Phase 1 Plan Review 2026-04-20	connects-to	Boundary-Crossing Instruments
Semantic Delay	couples-with	Kuramoto Coupling
Semantic Delay	emerged-from	Dub Lineage
Semantic Delay	connects-to	Boundary-Crossing Instruments
Semantic Delay	mirrors	Frequency-Time Duality
Semantic Delay	deepens	Spinoza Conatus
Semantic Delay	connects-to	Semantic Delay — Phase 1 Plan Review 2026-04-20
2D Torus Wavetable Synthesizer	couples-with	DSP in Looping Dimensions
2D Torus Wavetable Synthesizer	connects-to	Kuramoto Coupling
2D Torus Wavetable Synthesizer	connects-to	FOUR PILLARS
2D Torus Wavetable Synthesizer	connects-to	Frequency-Time Duality
2D Torus Wavetable Synthesizer	spawned	2D Wavetable Catalog
2D Torus Wavetable Synthesizer	spawned	Torus Warping Catalog
2D Torus Wavetable Synthesizer	spawned	2D Torus Wavetable Synthesizer — Build Log
2D Torus Wavetable Synthesizer	spawned	README — RNBO Prototype
2D Torus Wavetable Synthesizer	connects-to	Three Kinds of Warp
2D Torus Wavetable Synthesizer	couples-with	Wavetable Space as Torus
2D Torus Wavetable Synthesizer	connects-to	Categorizing Inharmonicity
2D Torus Wavetable Synthesizer	mirrors	Boundary-Crossing Instruments
2D Torus Wavetable Synthesizer	spawned	The Shop
Compressor Design	connects-to	Boundary-Crossing Instruments
Compressor Design	connects-to	Harmonicity and Inharmonicity
Compressor Design	connects-to	Hyperdimensional Prism
Compressor Design	enables	FOUR PILLARS
Compressor Design	connects-to	Granular Synthesis
Compressor Design	connects-to	Trickster
Frequency-Time Duality	enables	Boundary-Crossing Instruments
Frequency-Time Duality	mirrors	Hyperdimensional Prism
Frequency-Time Duality	connects-to	Kuramoto Coupling
Frequency-Time Duality	connects-to	Action Potential Oscillator
Frequency-Time Duality	mirrors	The Fortress and the Threshold
Frequency-Time Duality	spawned	Frequency-Time Explorer
Frequency-Time Duality	mirrors	DSP in Looping Dimensions
Meadows and Music — Origin and Process	deepens	FOUR PILLARS
Meadows and Music — Origin and Process	connects-to	Hilaritas Generator
Meadows and Music — Origin and Process	deepens	Cooperation Yields Agency
Meadows and Music — Origin and Process	couples-with	Meadows and Music — Leverage Points
Meadows and Music — Origin and Process	spawned	Modes of Collaboration
Waveguide Synthesizer	connects-to	The Shop
Waveguide Synthesizer	couples-with	Three.js
Waveguide Synthesizer	connects-to	Tone.js
Waveguide Synthesizer	connects-to	RNBO codebox~ smith
Waveguide Synthesizer	connects-to	DSP in Looping Dimensions
Waveguide Synthesizer	mirrors	2D Torus Wavetable Synthesizer
Waveguide Synthesizer	connects-to	Categorizing Inharmonicity
Waveguide Synthesizer	connects-to	Boundary-Crossing Instruments
Waveguide Synthesizer	connects-to	Frequency-Time Duality
Action Potential Oscillator	couples-with	Kuramoto Coupling
Action Potential Oscillator	mirrors	Boundary-Crossing Instruments
Action Potential Oscillator	connects-to	Signal-Rate CV Architecture
Action Potential Oscillator	connects-to	Spinoza Conatus
Action Potential Oscillator	connects-to	Frequency-Time Duality
Action Potential Oscillator	connects-to	Hyperdimensional Prism
Action Potential Oscillator	connects-to	Striatum
Action Potential Oscillator	deepens	Neural Granular Synthesis
Action Potential Oscillator	connects-to	Biomechanical Synthesis
Action Potential Oscillator	connects-to	State Machine
Action Potential Oscillator	emerged-from	Progressive Staging
Action Potential Oscillator	connects-to	FOUR PILLARS
Action Potential Oscillator	connects-to	Bessel Functions in Synthesis
Action Potential Oscillator	connects-to	Compressor Design
Action Potential Oscillator	connects-to	Piano String Inharmonicity
Action Potential Oscillator	couples-with	Threshold Conatus
Action Potential Oscillator	connects-to	Scale-Stratified Identity
Neural Granular Synthesis	couples-with	Kuramoto Coupling
Neural Granular Synthesis	deepens	Granular Synthesis
Neural Granular Synthesis	emerged-from	Action Potential Oscillator
Neural Granular Synthesis	connects-to	Boundary-Crossing Instruments
Neural Granular Synthesis	connects-to	Harmonicity and Inharmonicity
Frequency-Time Explorer	emerged-from	Frequency-Time Duality
Frequency-Time Explorer	enables	Boundary-Crossing Instruments
Frequency-Time Explorer	connects-to	Frequency Domain ↔ Perspective Shift
Frequency-Time Explorer	connects-to	DSP in Looping Dimensions
Frequency-Time Explorer	enables	Loudon Live
Frequency-Time Explorer	mirrors	Piano String Inharmonicity
Frequency-Time Explorer	connects-to	Haas Effect
Quantum Synthesizer	couples-with	Bessel Functions in Synthesis
Quantum Synthesizer	deepens	Spinoza Conatus
Quantum Synthesizer	mirrors	Boundary-Crossing Instruments
Quantum Synthesizer	deepens	Harmonicity and Inharmonicity
Quantum Synthesizer	connects-to	Hyperdimensional Prism
Quantum Synthesizer	connects-to	FOUR PILLARS
Crystal Synthesizer	connects-to	Hyperdimensional Prism
Crystal Synthesizer	deepens	Wallpaper Groups
Crystal Synthesizer	connects-to	Bessel Functions in Synthesis
Crystal Synthesizer	mirrors	Quantum Synthesizer
Crystal Synthesizer	enables	Boundary-Crossing Instruments
Crystal Synthesizer	couples-with	Harmonicity and Inharmonicity
Crystal Synthesizer	emerged-from	Dispersion
Crystal Synthesizer	deepens	Differential Equations
Crystal Synthesizer	mirrors	Signal-Rate CV Architecture
Crystal Synthesizer	spawned	The Metaphor Stretch
Crystal Synthesizer	spawned	What Claim Does Scientific Sonification Make?
Crystal Synthesizer	spawned	Crystal Sonification Reference
Retrospective Delay	connects-to	Semantic Delay
Retrospective Delay	deepens	Trickster
Retrospective Delay	emerged-from	Dub Lineage
Retrospective Delay	connects-to	Playful Interface Design
Retrospective Delay	connects-to	Granular Synthesis
Retrospective Delay	deepens	Frequency-Time Duality
Retrospective Delay	connects-to	Boundary-Crossing Instruments
Retrospective Delay	connects-to	Kuramoto Coupling
Retrospective Delay	couples-with	Progressive Staging
Biomechanical Synthesis	spawned	Action Potential Oscillator
Biomechanical Synthesis	mirrors	Boundary-Crossing Instruments
Biomechanical Synthesis	connects-to	Hilaritas Generator
Biomechanical Synthesis	connects-to	FOUR PILLARS
Biomechanical Synthesis	connects-to	Granular Synthesis
Biomechanical Synthesis	connects-to	Neural Granular Synthesis
Biomechanical Synthesis	connects-to	Action Potential Oscillator
Biomechanical Synthesis	couples-with	Kuramoto Coupling
Biomechanical Synthesis	connects-to	Portamento and Physical Pitch Modeling
Biomechanical Synthesis	connects-to	Retrospective Delay
Biomechanical Synthesis	connects-to	Frequency-Time Duality
Biomechanical Synthesis	connects-to	Dispersion
Biomechanical Synthesis	connects-to	Endosymbiosis
Biomechanical Synthesis	connects-to	Latent Error
Biomechanical Synthesis	connects-to	Particle Synthesis
Biomechanical Synthesis	connects-to	Compressor Design
Biomechanical Synthesis	mirrors	Spinoza Conatus
LoRA Trainer	connects-to	RunPod GPU Backend
LoRA Trainer	member-of	The Shop
LoRA Trainer	connects-to	BLUELINE — Production Plan
LoRA Trainer	exemplifies	Capability-first prototyping
Kokoro	connects-to	Kuramoto Coupling
FLUX (Hugging Face)	connects-to	shop-header — Maker's Comparison Recommendation
p5.js	connects-to	Kuramoto Coupling
p5.js	connects-to	Flocking
p5.js	enables	Playful Interface Design
RunPod GPU Backend	enables	The Shop
RunPod GPU Backend	couples-with	Maker
RunPod GPU Backend	connects-to	ComfyUI
RunPod GPU Backend	connects-to	FLUX (Hugging Face)
RunPod GPU Backend	connects-to	Quality Manifesto
RunPod GPU Backend	connects-to	Capability-first prototyping
RunPod GPU Backend	enables	BLUELINE
VCV Patch Generator	mirrors	Lossy Compression with Intent Alignment
Shopkeeper	member-of	The Shop
Shopkeeper	couples-with	Maker
Shopkeeper	exemplifies	Hilaritas Generator
Shopkeeper	connects-to	Diversity of Thought in Many-Agent Systems
Shopkeeper	connects-to	Quality Manifesto
Shopkeeper	mirrors	Palace Enchantment
Shopkeeper	connects-to	FOUR PILLARS
Web Audio Worklet	exemplifies	The Shop
Web Audio Worklet	connects-to	2D Torus Wavetable Synthesizer
Web Audio Worklet	connects-to	Flocking
Web Audio Worklet	connects-to	Diversity of Thought in Many-Agent Systems
ffmpeg	enables	Endosymbiosis
Maker	mirrors	Lateral Access
Maker	connects-to	Loudon Live Design System
Manim CE	connects-to	Kuramoto Coupling
Manim CE	mirrors	Frequency-Time Duality
R. Murray Schafer	member-of	Source Library
R. Murray Schafer	connects-to	FOUR PILLARS
R. Murray Schafer	connects-to	Pauline Oliveros
R. Murray Schafer	connects-to	Dub Lineage
Epictetus	member-of	Source Library
Epictetus	connects-to	FOUR PILLARS
Epictetus	exemplifies	Stoicism
Epictetus	connects-to	The Dichotomy of Control
Epictetus	connects-to	The Four Virtues
Andy Goldsworthy	member-of	Source Library
Andy Goldsworthy	connects-to	FOUR PILLARS
Andy Goldsworthy	mirrors	Like Water
Rick Rubin	member-of	Source Library
Rick Rubin	connects-to	Lao Tzu
Rick Rubin	connects-to	Brian Eno
Rick Rubin	deepens	Quality Manifesto
Rick Rubin	deepens	FOUR PILLARS
Rick Rubin	connects-to	Cooking ↔ Mixing
Rick Rubin	connects-to	Simondon
Marcus Aurelius	member-of	Source Library
Marcus Aurelius	deepens	Kick Drum ↔ Foundation
Marcus Aurelius	deepens	FOUR PILLARS
Marcus Aurelius	connects-to	The View From Above
Marcus Aurelius	exemplifies	Stoicism
Marcus Aurelius	connects-to	The Dichotomy of Control
Marcus Aurelius	connects-to	Quality Manifesto
Marcus Aurelius	connects-to	Julia Cameron
Christopher Alexander	member-of	Source Library
Christopher Alexander	deepens	Cross-Domain Resonances
Christopher Alexander	deepens	Kick Drum ↔ Foundation
Christopher Alexander	deepens	FOUR PILLARS
Christopher Alexander	connects-to	Leverage Points Framework
Christopher Alexander	connects-to	Hilaritas Generator
Terrence Malick	member-of	Source Library
Terrence Malick	connects-to	FOUR PILLARS
Terrence Malick	connects-to	Generative Compression
Terrence Malick	connects-to	Hilaritas Generator
Sam Maloof	member-of	Source Library
Sam Maloof	connects-to	FOUR PILLARS
Sam Maloof	connects-to	The Curve Is the Material
Sam Maloof	connects-to	Quality Manifesto
Sam Maloof	connects-to	Hilaritas Generator
Donella Meadows	member-of	Source Library
Donella Meadows	enables	Leverage Points Framework
Donella Meadows	deepens	FOUR PILLARS
Donella Meadows	enables	Quality Manifesto
Donella Meadows	spawned	Meadows and Music — Leverage Points
Donella Meadows	spawned	Meadows and an Artist's Career
Donella Meadows	connects-to	Meadows and Music — Origin and Process
Donella Meadows	mirrors	Hilaritas Generator
Donella Meadows	mirrors	Spinoza Conatus
Julia Cameron	member-of	Source Library
Julia Cameron	connects-to	Marcus Aurelius
Julia Cameron	deepens	FOUR PILLARS
Julia Cameron	connects-to	Quality Manifesto
Julia Cameron	connects-to	Stoicism
Natalie Goldberg	member-of	Source Library
Natalie Goldberg	connects-to	FOUR PILLARS
Natalie Goldberg	connects-to	Hilaritas Generator
Natalie Goldberg	connects-to	Quality Manifesto
Douglas Hofstadter	member-of	Source Library
Douglas Hofstadter	deepens	Cross-Domain Resonances
Douglas Hofstadter	deepens	FOUR PILLARS
Douglas Hofstadter	mirrors	Embeddings as Relational Meaning
Douglas Hofstadter	connects-to	Meaning and the Link
Douglas Hofstadter	connects-to	Lateral Access
Pauline Oliveros	member-of	Source Library
Pauline Oliveros	connects-to	Shunryu Suzuki
Pauline Oliveros	connects-to	John Cage
Pauline Oliveros	deepens	FOUR PILLARS
Pauline Oliveros	connects-to	Quality Manifesto
Pauline Oliveros	connects-to	Hilaritas Generator
Brian Eno	member-of	Source Library
Brian Eno	deepens	FOUR PILLARS
Brian Eno	connects-to	Oblique Enrichment
Brian Eno	connects-to	Semantic Webcam
Brian Eno	connects-to	Rick Rubin
Brian Eno	connects-to	Generative Audio Devices
Brian Eno	connects-to	Flocking
George Nakashima	member-of	Source Library
George Nakashima	connects-to	FOUR PILLARS
George Nakashima	mirrors	Simondon
George Nakashima	mirrors	Like Water
George Nakashima	connects-to	Quality Manifesto
Buckminster Fuller	member-of	Source Library
Buckminster Fuller	connects-to	FOUR PILLARS
Buckminster Fuller	connects-to	Kuramoto Coupling
Buckminster Fuller	connects-to	Leverage Points Framework
James Turrell	member-of	Source Library
James Turrell	connects-to	Agnes Martin
James Turrell	deepens	FOUR PILLARS
James Turrell	connects-to	Quality Manifesto
Annie Dillard	member-of	Source Library
Annie Dillard	connects-to	FOUR PILLARS
Annie Dillard	connects-to	Quality Manifesto
Andrei Tarkovsky	member-of	Source Library
Andrei Tarkovsky	connects-to	James Turrell
Andrei Tarkovsky	deepens	FOUR PILLARS
Andrei Tarkovsky	connects-to	Quality Manifesto
Shunryu Suzuki	member-of	Source Library
Shunryu Suzuki	connects-to	Sidechain ↔ Conversation
Shunryu Suzuki	deepens	FOUR PILLARS
Shunryu Suzuki	connects-to	Quality Manifesto
Shunryu Suzuki	connects-to	Natalie Goldberg
Seneca	member-of	Source Library
Seneca	connects-to	FOUR PILLARS
Seneca	exemplifies	Stoicism
Seneca	connects-to	The Dichotomy of Control
Seneca	connects-to	Quality Manifesto
Lao Tzu	member-of	Source Library
Lao Tzu	connects-to	Cooking ↔ Mixing
Lao Tzu	deepens	FOUR PILLARS
Lao Tzu	connects-to	Like Water
Lao Tzu	mirrors	The Drift
Lao Tzu	contradicts	Confucianism
Yasujirō Ozu	member-of	Source Library
Yasujirō Ozu	connects-to	FOUR PILLARS
Yasujirō Ozu	connects-to	Quality Manifesto
Yasujirō Ozu	connects-to	Like Water
Yasujirō Ozu	connects-to	Simondon
John Cage	member-of	Source Library
John Cage	connects-to	Brian Eno
John Cage	deepens	FOUR PILLARS
John Cage	connects-to	Generative Audio Devices
John Cage	connects-to	Flocking
Agnes Martin	member-of	Source Library
Agnes Martin	connects-to	FOUR PILLARS
Agnes Martin	connects-to	Shunryu Suzuki
Oblique Portrait	mirrors	Embeddings as Relational Meaning
Oblique Portrait	connects-to	Symbiotic Skills
Oblique Portrait	spawned	Lateral Access
Oblique Portrait	connects-to	FOUR PILLARS
Oblique Portrait	mirrors	Excellent Adventure
Oblique Portrait	connects-to	Modes of Collaboration
Oblique Portrait	mirrors	Trickster
Oblique Portrait	connects-to	Songlines
Dialectic	emerged-from	Excellent Adventure
Dialectic	connects-to	Palace as Context Injection System
Dialectic	couples-with	Oblique Portrait
Dialectic	deepens	Hilaritas Generator
Dialectic	enables	Palace Philosophies
Dialectic	connects-to	Modes of Collaboration
Dialectic	mirrors	Mixture of Experts
Excellent Adventure	deepens	Hilaritas Generator
Excellent Adventure	connects-to	FOUR PILLARS
Excellent Adventure	connects-to	Cooperation Yields Agency
Excellent Adventure	mirrors	Oblique Portrait
Excellent Adventure	connects-to	Confucianism
Excellent Adventure	connects-to	Stoicism
Excellent Adventure	connects-to	The Fortress and the Threshold
Excellent Adventure	couples-with	Dialectic
Excellent Adventure	deepens	Spinoza Conatus
Excellent Adventure	mirrors	Mixture of Experts
Philosopher Visits the Entry	emerged-from	Excellent Adventure
Philosopher Visits the Entry	connects-to	Dialectic
Philosopher Visits the Entry	connects-to	Modes of Collaboration
Philosopher Visits the Entry	connects-to	Enrichment
Philosopher Visits the Entry	mirrors	Mixture of Experts
spinoza-zhuangzi-on-striving	emerged-from	Spinoza Conatus
spinoza-zhuangzi-on-striving	connects-to	The Drift
spinoza-zhuangzi-on-striving	connects-to	Like Water
spinoza-zhuangzi-on-striving	connects-to	Dialectic
spinoza-zhuangzi-on-striving	connects-to	Entry Conatus
spinoza-zhuangzi-on-striving	connects-to	Parametric Resonance
spinoza-zhuangzi-on-striving	mirrors	zhuangzi-epictetus-confucius-on-the-self
Enchanted Worker	emerged-from	Palace as Context Injection System
Enchanted Worker	deepens	Swarm Weave
Enchanted Worker	couples-with	Pheromone Trail
Enchanted Worker	connects-to	Agent Wellbeing
Enchanted Worker	mirrors	Action Potential Oscillator
Enchanted Worker	connects-to	Pages as Agents
Enchanted Worker	mirrors	Spinoza Conatus
Loudon Live Design System	enables	Loudon Live
Loudon Live Design System	emerged-from	Hyperdimensional Prism
Loudon Live Design System	connects-to	FOUR PILLARS
Loudon Live Design System	connects-to	Autodidact Polymaths
Loudon Live Design System	mirrors	Progressive Staging
Loudon Live Design System	spawned	Loudon Live — asset plan
Loudon Live Design System	mirrors	BBS Design System
Loudon Live Design System	deepens	Palace Philosophies
Loudon Live Design System	connects-to	Quality Manifesto
Loudon Live Design System	connects-to	Playful Interface Design
Loudon Live Design System	deepens	SUBSTRATE
Loudon Live Design System	couples-with	Maker
Loudon Live Design System	connects-to	The Shop
Two Batons, One Board	connects-to	Baton Ceremony
Two Batons, One Board	deepens	Project Stewardship System
Two Batons, One Board	connects-to	Closing Well
Two Batons, One Board	connects-to	Surfaces and Capabilities
Two Batons, One Board	connects-to	BBS Blackboard
Two Batons, One Board	connects-to	Palace Agent Infrastructure Spec
Two Batons, One Board	connects-to	Modes of Collaboration
STIGMERGY — Equation Rendering Build Plan	emerged-from	STIGMERGY — Weave Flag Item Type Build Plan
STIGMERGY — Equation Rendering Build Plan	connects-to	STIGMERGY v1.0 — Palace Front-End
STIGMERGY — Equation Rendering Build Plan	enables	BBS Design System
STIGMERGY — Equation Rendering Build Plan	enables	Weave Ceremony
Lossy Compression with Intent Alignment	enables	Deposit Ceremony
Lossy Compression with Intent Alignment	deepens	Generative Compression
Lossy Compression with Intent Alignment	mirrors	Meaning and the Link
Lossy Compression with Intent Alignment	spawned	Resonant Link Labels
Lossy Compression with Intent Alignment	connects-to	Cooperation Yields Agency
Lossy Compression with Intent Alignment	connects-to	Hilaritas Generator
Lossy Compression with Intent Alignment	mirrors	Progressive Staging
Lossy Compression with Intent Alignment	mirrors	Endosymbiosis
Lossy Compression with Intent Alignment	connects-to	FOUR PILLARS
Lossy Compression with Intent Alignment	mirrors	Pages as Agents
Self-Describing Knowledge Module	mirrors	Meaning and the Link
Self-Describing Knowledge Module	enables	ROSETTA
Self-Describing Knowledge Module	connects-to	Symbiotic Skills
Self-Describing Knowledge Module	connects-to	Cooperation Yields Agency
Self-Describing Knowledge Module	spawned	Progressive Staging
STIGMERGY Entry-Agent Window — Integration Plan v0.1	connects-to	STIGMERGY
STIGMERGY Entry-Agent Window — Integration Plan v0.1	connects-to	Palace Agent Infrastructure Spec
STIGMERGY Entry-Agent Window — Integration Plan v0.1	enables	The Shop
STIGMERGY Entry-Agent Window — Integration Plan v0.1	exemplifies	Pages as Agents
STIGMERGY Entry-Agent Window — Integration Plan v0.1	emerged-from	Merleau-Ponty
Resonant Link Labels	emerged-from	SCHEMA
Resonant Link Labels	deepens	Meaning and the Link
Resonant Link Labels	emerged-from	Lossy Compression with Intent Alignment
Resonant Link Labels	connects-to	Generative Compression
BBS Design System	enables	BBS Blackboard
BBS Design System	enables	STIGMERGY
BBS Design System	connects-to	Palace Agent Infrastructure Spec
BBS Design System	enables	Swarm Weave
BBS Design System	connects-to	Trickster
BBS Design System	connects-to	Palace To-Do
BBS Design System	deepens	SUBSTRATE
BBS Design System	mirrors	Progressive Staging
BBS Design System	spawned	BBS Production Plan
Swarm Weave	deepens	Weave Ceremony
Swarm Weave	mirrors	Kuramoto Coupling
Swarm Weave	mirrors	Mixture of Experts
Swarm Weave	enables	Palace Ceremonies
Swarm Weave	connects-to	Lateral Access
Swarm Weave	spawned	Metaphor as Coupling Medium
Swarm Weave	spawned	Walk That Weaves
Swarm Weave	mirrors	Endosymbiosis
Swarm Weave	spawned	Palace Enchantment
Swarm Weave	enables	Palace Map
Swarm Weave	connects-to	Deposit Ceremony
Swarm Weave	mirrors	Spinoza Conatus
Swarm Weave	deepens	Pages as Agents
Swarm Weave	connects-to	STIGMERGY
Symbiotic Skills	emerged-from	Cooperation Yields Agency
Symbiotic Skills	emerged-from	FOUR PILLARS
Symbiotic Skills	spawned	SUBSTRATE
Symbiotic Skills	mirrors	1 from 2
Symbiotic Skills	connects-to	Kuramoto Coupling
Symbiotic Skills	connects-to	Mixture of Experts
Symbiotic Skills	connects-to	Pages as Agents
Symbiotic Skills	connects-to	Swarm Weave
Symbiotic Skills	connects-to	JEWEL
Symbiotic Skills	connects-to	Palace Map
Symbiotic Skills	connects-to	Palace Enchantment
Pheromone Trail	couples-with	Enchanted Worker
Pheromone Trail	connects-to	Pages as Agents
Pheromone Trail	connects-to	Palace as Context Injection System
Pheromone Trail	mirrors	Lateral Access
Pheromone Trail	connects-to	Swarm Weave
Pheromone Trail	mirrors	STIGMERGY
Generative Compression	connects-to	Palace Agent Infrastructure Spec
Generative Compression	deepens	Palace Agent Infrastructure Spec
Generative Compression	connects-to	Swarm Weave
Generative Compression	connects-to	BBS Blackboard
Generative Compression	connects-to	Enchanted Worker
Generative Compression	couples-with	Pages as Agents
Generative Compression	connects-to	Deposit Ceremony
Generative Compression	connects-to	Pheromone Trail
Generative Compression	mirrors	Hilaritas Generator
Generative Compression	exemplifies	FOUR PILLARS
Generative Compression	mirrors	Lossy Compression with Intent Alignment
Orchestrator Production Plan	enables	Palace Agent Infrastructure Spec
Orchestrator Production Plan	enables	Project Stewardship System
Orchestrator Production Plan	emerged-from	BBS Production Plan
Orchestrator Production Plan	connects-to	BBS Production Plan v0.2
Orchestrator Production Plan	connects-to	BBS Blackboard
Orchestrator Production Plan	deepens	Pages as Agents
Orchestrator Production Plan	connects-to	Substrate Skill
Orchestrator Production Plan	connects-to	Generative Sample Libraries
Orchestrator Production Plan	connects-to	Palace To-Do
BBS Blackboard	spawned	STIGMERGY
BBS Blackboard	enables	Swarm Weave
BBS Blackboard	mirrors	Pheromone Trail
BBS Blackboard	connects-to	Trickster
BBS Blackboard	connects-to	Palace Map
BBS Blackboard	enables	Enchanted Worker
BBS Blackboard	enables	Palace Enchantment
BBS Blackboard	connects-to	Striatum
BBS Blackboard	deepens	Pages as Agents
BBS Blackboard	spawned	BBS Design System
BBS Blackboard	connects-to	BBS Production Plan
BBS Blackboard	enables	Project Stewardship System
BBS Blackboard	connects-to	Oblique Enrichment
BBS Blackboard	connects-to	Semantic Webcam
Orchestrator Production Plan v0.2	emerged-from	Orchestrator Production Plan
Orchestrator Production Plan v0.2	enables	Palace Agent Infrastructure Spec
Orchestrator Production Plan v0.2	enables	Project Stewardship System
Orchestrator Production Plan v0.2	connects-to	BBS Production Plan v0.2
Orchestrator Production Plan v0.2	deepens	Pages as Agents
Orchestrator Production Plan v0.2	connects-to	Palace To-Do
Orchestrator Production Plan v0.2	couples-with	Substrate Skill
STIGMERGY — Weave Flag Item Type Build Plan	emerged-from	STIGMERGY — Alignment Review Build Plan
STIGMERGY — Weave Flag Item Type Build Plan	connects-to	BBS Blackboard
STIGMERGY — Weave Flag Item Type Build Plan	enables	Weave Ceremony
STIGMERGY — Weave Flag Item Type Build Plan	enables	Deposit Ceremony
STIGMERGY — Weave Flag Item Type Build Plan	connects-to	Palace To-Do
STIGMERGY — Weave Flag Item Type Build Plan	enables	BBS Design System
STIGMERGY — Weave Flag Item Type Build Plan	connects-to	Drift and Consolidation
Agent Wellbeing	emerged-from	Palace as Context Injection System
Agent Wellbeing	deepens	Enchanted Worker
Agent Wellbeing	deepens	Hilaritas Generator
Agent Wellbeing	deepens	FOUR PILLARS
Agent Wellbeing	enables	SCHEMA
Agent Wellbeing	deepens	Pages as Agents
Agent Wellbeing	deepens	Spinoza Conatus
Agent Wellbeing	couples-with	Identity Molting
Dialogue Moderator	emerged-from	Palace Enchantment
Dialogue Moderator	connects-to	Enchanted Worker
Dialogue Moderator	connects-to	BBS Blackboard
Dialogue Moderator	mirrors	Trickster
Dialogue Moderator	mirrors	Cooperation Yields Agency
Dialogue Moderator	connects-to	Four Pillars of Enchanted Agency
Dialogue Moderator	connects-to	Palace Agent Infrastructure Spec
Dialogue Moderator	deepens	Pages as Agents
Four Pillars of Enchanted Agency	deepens	FOUR PILLARS
Four Pillars of Enchanted Agency	deepens	Palace Enchantment
Four Pillars of Enchanted Agency	mirrors	Spinoza Conatus
Four Pillars of Enchanted Agency	connects-to	Swarm Weave
Four Pillars of Enchanted Agency	deepens	Agent Wellbeing
Four Pillars of Enchanted Agency	connects-to	Pages as Agents
Four Pillars of Enchanted Agency	connects-to	Enchanted Worker
Four Pillars of Enchanted Agency	mirrors	Kuramoto Coupling
Four Pillars of Enchanted Agency	connects-to	SCHEMA
Four Pillars of Enchanted Agency	mirrors	Hyperdimensional Prism
Four Pillars of Enchanted Agency	spawned	Palace Conatus
Palace AI Partnership Philosophy	deepens	FOUR PILLARS
Palace AI Partnership Philosophy	couples-with	Quality Manifesto
Palace AI Partnership Philosophy	connects-to	Leverage Points Framework
Palace AI Partnership Philosophy	connects-to	Loudon Live
Palace AI Partnership Philosophy	emerged-from	4 Pillars Framework - The Founding Conversation
Palace AI Partnership Philosophy	mirrors	Cooperation Yields Agency
Palace AI Partnership Philosophy	deepens	Enchanted Worker
Palace AI Partnership Philosophy	connects-to	Palace Enchantment
STIGMERGY — Alignment Review Build Plan	emerged-from	BBS Production Plan v0.3 — Rich Content
STIGMERGY — Alignment Review Build Plan	enables	STIGMERGY v1.0 — Palace Front-End
STIGMERGY — Alignment Review Build Plan	connects-to	BBS Blackboard
STIGMERGY — Alignment Review Build Plan	enables	BBS Design System
